timestamp,direction,type,message
2026-07-05 18:31:53.333,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=2C
2026-07-05 18:31:53.333,AS_GPS_HS->Helix,nmea,"$GNGGA,,,,,,0,00,99.99,,,,,,*56"
2026-07-05 18:31:53.333,AS_GPS_HS->Helix,raw,RAW_LEN=25 HEX=2C2C2C2C302C30302C39392E39392C2C2C2C2C2C2A35360D0A
2026-07-05 18:31:53.363,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:53.363,AS_GPS_HS->Helix,nmea,"$GPHDG,232.0,0.0,E,0.0,E*5D"
2026-07-05 18:31:53.363,AS_GPS_HS->Helix,raw,RAW_LEN=28 HEX=47504844472C3233322E302C302E302C452C302E302C452A35440D0A
2026-07-05 18:31:53.523,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:53.523,AS_GPS_HS->Helix,nmea,"$GNRMC,,V,,,,,,,,,,N*4D"
2026-07-05 18:31:53.523,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=474E524D432C2C562C2C2C2C2C2C2C2C2C2C4E2A34440D0A24474E4747412C
2026-07-05 18:31:53.533,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=2C
2026-07-05 18:31:53.533,AS_GPS_HS->Helix,nmea,"$GNGGA,,,,,,0,00,99.99,,,,,,*56"
2026-07-05 18:31:53.533,AS_GPS_HS->Helix,raw,RAW_LEN=25 HEX=2C2C2C2C302C30302C39392E39392C2C2C2C2C2C2A35360D0A
2026-07-05 18:31:53.723,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:53.723,AS_GPS_HS->Helix,nmea,"$GNRMC,,V,,,,,,,,,,N*4D"
2026-07-05 18:31:53.723,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=474E524D432C2C562C2C2C2C2C2C2C2C2C2C4E2A34440D0A24474E4747412C
2026-07-05 18:31:53.733,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=2C
2026-07-05 18:31:53.733,AS_GPS_HS->Helix,nmea,"$GNGGA,,,,,,0,00,99.99,,,,,,*56"
2026-07-05 18:31:53.733,AS_GPS_HS->Helix,raw,RAW_LEN=25 HEX=2C2C2C2C302C30302C39392E39392C2C2C2C2C2C2A35360D0A
2026-07-05 18:31:53.863,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:53.863,AS_GPS_HS->Helix,nmea,"$GPHDG,234.0,0.0,E,0.0,E*5B"
2026-07-05 18:31:53.863,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=47504844472C3233342E302C302E302C452C302E302C452A35420D0A245054
